"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.213799542E0,-1.773718836E-2,-8.011416346E-4,2.759125650E-2,3.281047263E-2
2.223852542E0,2.382383207E-3,-1.465293970E-2,2.205160439E-2,2.658303308E-2
2.233905542E0,2.532903043E-3,-6.365059689E-4,5.733779669E-3,6.300552910E-3
2.243958542E0,1.180852738E-2,-2.356908476E-2,-5.639639497E-3,2.695827534E-2
2.254011542E0,-5.012957878E-3,-7.849430200E-3,1.396958292E-2,1.678965598E-2
2.264064542E0,-2.673780969E-3,-1.783033496E-2,2.010857463E-2,2.700786410E-2
2.274117542E0,-7.507396635E-3,-1.005790528E-2,1.816262126E-2,2.207721164E-2
2.284170542E0,4.444529145E-4,-7.385965269E-3,1.516943157E-2,1.687784570E-2
2.294222542E0,1.124667677E-3,6.316820160E-4,2.864492476E-2,2.867395358E-2
2.304275542E0,6.594480677E-3,3.225780968E-3,1.756912887E-2,1.904119554E-2
2.314328542E0,9.067279596E-3,2.543100268E-3,1.682010055E-2,1.927689551E-2
2.324381542E0,-6.509968996E-3,1.132804843E-2,3.417989910E-2,3.659193736E-2
2.334434542E0,-1.255376644E-2,1.356367651E-2,3.582647502E-2,4.031261198E-2
2.344487542E0,-8.977452888E-3,7.920199782E-3,1.052615762E-2,1.594127407E-2
2.354540542E0,-4.875262231E-3,1.283657525E-2,1.112491250E-2,1.767228123E-2
2.364593542E0,-1.578430741E-2,1.403762989E-2,1.681308389E-2,2.699776292E-2
2.374646542E0,-8.717022242E-3,1.472895350E-3,2.429751992E-2,2.585585759E-2
2.384699542E0,3.495253955E-3,3.890225664E-3,1.097463906E-2,1.215702918E-2
2.394752542E0,7.852510266E-3,4.254616834E-3,1.740774572E-2,1.956510396E-2
2.404805542E0,-5.823877610E-3,-1.843956001E-3,1.531151891E-2,1.648515500E-2
2.414858542E0,7.317604237E-3,1.794547029E-3,3.087856114E-2,3.178448157E-2
2.424911542E0,5.879016740E-3,-5.642526560E-3,3.102766514E-2,3.207985268E-2
2.434963542E0,-4.644097642E-3,1.356157517E-2,1.530976474E-2,2.097314618E-2
2.445016542E0,3.216165324E-3,1.312891776E-2,6.028479338E-3,1.480049878E-2
2.455069542E0,-5.248321441E-3,8.831780702E-3,1.845205843E-2,2.111927292E-2
2.465122542E0,-1.971467329E-2,3.276925832E-3,3.932252526E-3,2.036833807E-2
2.475175542E0,-6.821823162E-3,5.381448381E-3,2.833151400E-2,2.963396604E-2
2.485228542E0,-9.802081600E-3,9.106124751E-4,2.339178622E-2,2.537884318E-2
2.495281542E0,-1.207233845E-2,6.354169250E-3,3.012894809E-2,3.307371064E-2
2.505334542E0,1.424272383E-4,9.303102829E-3,2.054945469E-2,2.255766158E-2
2.515387542E0,4.917567750E-3,1.316372696E-2,1.755626500E-2,2.248752145E-2
2.525440542E0,-5.953905068E-3,1.626900047E-2,3.192696691E-2,3.632437994E-2
2.535493542E0,-8.337038878E-4,7.024150528E-4,1.620965123E-2,1.624626856E-2
2.545546542E0,4.240307715E-3,-1.488750441E-2,1.606054723E-2,2.230603449E-2
2.555599542E0,1.928457689E-4,-7.079132628E-3,1.546120763E-2,1.700588867E-2
2.565651542E0,8.127799920E-3,1.496101487E-3,8.275564313E-3,1.169548699E-2
2.575704542E0,2.481281380E-3,2.316612024E-3,1.111848056E-2,1.162514768E-2
2.585757542E0,-6.480977313E-3,-7.548590954E-3,2.024890780E-2,2.256108507E-2
2.595810542E0,-6.180767328E-3,-1.893869296E-2,1.965073764E-2,2.798262793E-2
2.605863542E0,9.548928568E-3,-5.293539148E-3,1.306384921E-2,1.702550292E-2
2.615916542E0,-4.815183232E-3,2.864697129E-3,2.054945469E-2,2.129959078E-2
2.625969542E0,-4.163059373E-3,-3.099609017E-3,2.489042759E-2,2.542581415E-2
2.636022542E0,-5.009149194E-3,1.112092908E-2,2.069914341E-2,2.402542772E-2
2.646075542E0,4.128208483E-3,1.202271592E-2,1.007124424E-2,1.621782241E-2
2.656128542E0,-4.490469474E-3,-5.132539719E-3,2.473956943E-2,2.566229872E-2
2.666181542E0,1.396045920E-2,1.102368258E-2,2.907820344E-2,3.408750378E-2
2.676234542E0,9.211754359E-4,6.444545276E-3,2.503309965E-2,2.586574581E-2
2.686287542E0,9.521728166E-3,-3.714352380E-3,1.665053129E-2,1.953714189E-2
2.696340542E0,1.434190095E-2,6.614881977E-3,2.772749662E-2,3.191019986E-2
2.706391542E0,4.458522492E-3,3.275628481E-3,2.428524077E-2,2.490745037E-2
2.716444542E0,1.883946759E-3,-7.888515182E-3,4.377810359E-3,9.216460856E-3
2.726497542E0,3.788911803E-3,8.045403287E-5,2.369174838E-2,2.399294202E-2
2.736550542E0,-1.696085742E-2,3.261522073E-3,1.426077425E-2,2.239816718E-2
2.746603542E0,-2.162850952E-3,-2.864094134E-3,3.207607090E-2,3.227623405E-2
2.756656542E0,-6.083313544E-3,-1.481720991E-3,2.923373938E-2,2.989671752E-2
2.766709542E0,-2.526573318E-3,-2.090708502E-3,2.040268958E-2,2.066456815E-2
2.776762542E0,-1.627708807E-3,-2.726648021E-3,1.142428994E-2,1.185742156E-2
2.786815542E0,2.528186727E-3,-9.511720520E-3,1.741242349E-2,2.000142613E-2
2.796868542E0,-4.009209936E-4,-1.672340222E-3,1.830763221E-2,1.838822603E-2
2.806921542E0,-4.299918766E-3,-9.247718733E-3,2.115288734E-2,2.348306296E-2
2.816974542E0,-3.565901625E-3,-1.091565527E-2,2.594117224E-2,2.836920164E-2
2.827027542E0,1.528320845E-3,-6.372971702E-3,1.591319740E-2,1.720989205E-2
2.837079542E0,3.314091054E-3,6.994037367E-3,1.755918860E-2,1.918918609E-2
2.847132542E0,4.848257687E-3,1.536542293E-2,2.040327430E-2,2.599798889E-2
2.857185542E0,1.024415280E-2,1.618715772E-2,2.594292641E-2,3.224906467E-2
2.867238542E0,5.196746601E-3,1.104264949E-3,2.983424842E-2,3.030359641E-2
2.877291542E0,7.534256140E-3,1.353434907E-2,2.713985145E-2,3.124924251E-2
2.887344542E0,-2.224364203E-3,7.073705681E-3,1.815677404E-2,1.961258657E-2
2.897397542E0,2.297958607E-5,-8.621153031E-3,2.623938024E-2,2.761937514E-2
2.907450542E0,6.469683736E-3,2.937001605E-3,1.725513339E-2,1.866071849E-2
2.917503542E0,3.370566650E-3,1.204919284E-2,2.788127840E-2,3.055993214E-2
2.927556542E0,-4.861594364E-3,-3.267259654E-3,1.680489779E-2,1.779647929E-2
2.937609542E0,-7.504576952E-3,3.921106271E-4,1.231306672E-2,1.442511830E-2
2.947662542E0,8.260615655E-3,2.750201337E-3,1.470867097E-2,1.709229008E-2
2.957715542E0,-9.848078745E-4,-7.018157132E-3,1.082027256E-2,1.293455351E-2
2.967768542E0,2.769179092E-3,1.374380730E-2,2.653583407E-2,3.001184903E-2
2.977820542E0,1.344474163E-2,8.668478932E-3,3.031781316E-3,1.628174753E-2
2.987873542E0,2.849902988E-2,-3.233985342E-3,2.548625886E-2,3.836929444E-2
2.997926542E0,1.170865420E-2,1.815734049E-2,1.291299105E-2,2.516996096E-2
3.007979542E0,1.388180502E-2,6.794099137E-3,2.354030550E-2,2.816043814E-2
3.018032542E0,5.251922847E-3,5.464387480E-3,1.934902132E-2,2.078044393E-2
3.028085542E0,-2.726618043E-3,9.572074749E-3,1.830236971E-2,2.083352582E-2
3.038138542E0,4.510471919E-3,-7.712660171E-4,8.273810148E-3,9.454900453E-3
3.048191542E0,-6.272195740E-3,9.472087361E-3,1.665754795E-2,2.016270771E-2
3.058244542E0,-2.529952883E-3,-8.043740485E-3,3.147673130E-2,3.258660823E-2
3.068297542E0,-1.824785528E-3,-8.343995009E-3,1.590910435E-2,1.805690162E-2
3.078350542E0,-2.443960269E-2,-3.956810832E-3,9.773620963E-3,2.661717864E-2
